
--- Test Run: 4 scripts x 10 formats ---
GENERATED_FILES_DIR: /home/anupadkh/code/webapps/curfd_ai_backend/generated_files
Script: box_with_hole.py | Format: STL | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: STEP | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: AMF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: 3MF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: TJS | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: VRML | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: VTP | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: DXF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: SVG | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: box_with_hole.py | Format: GLTF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/error_assembly.py | Format: STL | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: STEP | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: AMF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: 3MF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: TJS | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: VRML | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: VTP | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: DXF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: SVG | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/error_assembly.py | Format: GLTF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_810f790e/assembly.py | Format: STL | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: STEP | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: AMF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: 3MF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: TJS | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: VRML | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: VTP | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: DXF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: SVG | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_810f790e/assembly.py | Format: GLTF | Status: FAILURE | Error: {"line": 1, "message": "ModuleNotFoundError: No module named 'OCP'"}
Script: errors/drone_20931580/assembly.py | Format: STL | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: STEP | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: AMF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: 3MF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: TJS | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: VRML | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: VTP | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: DXF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: SVG | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
Script: errors/drone_20931580/assembly.py | Format: GLTF | Status: FAILURE | Error: {"line": 29, "message": "SyntaxError: invalid syntax"}
